Rk,G,Date, ,Opp
1,1,2018-10-17,@,CHO
2,2,2018-10-19,,IND
3,3,2018-10-22,,NYK
4,4,2018-10-24,,PHI
5,5,2018-10-26,@,MIN
6,6,2018-10-27,,ORL
7,7,2018-10-29,,TOR
8,8,2018-11-01,@,BOS
9,9,2018-11-04,,SAC
10,10,2018-11-06,@,POR
11,11,2018-11-08,@,GSW
12,12,2018-11-10,@,LAC
13,13,2018-11-11,@,DEN
14,14,2018-11-14,,MEM
15,15,2018-11-16,,CHI
16,16,2018-11-19,,DEN
17,17,2018-11-21,,POR
18,18,2018-11-23,,PHO
19,19,2018-11-24,,SAS
20,20,2018-11-26,@,CHO
21,21,2018-11-28,,CHI
22,22,2018-12-01,@,NYK
23,23,2018-12-05,,DET
24,24,2018-12-07,,GSW
25,25,2018-12-09,@,TOR
26,26,2018-12-10,,CLE
27,27,2018-12-12,@,IND
28,28,2018-12-14,@,CLE
29,29,2018-12-17,@,DET
30,30,2018-12-19,,NOP
31,31,2018-12-21,@,BOS
32,32,2018-12-22,@,MIA
33,33,2018-12-25,@,NYK
34,34,2018-12-27,,NYK
35,35,2018-12-29,,BRK
36,36,2019-01-01,,DET
37,37,2019-01-04,,ATL
38,38,2019-01-05,,TOR
39,39,2019-01-07,,UTA
40,40,2019-01-09,@,HOU
41,41,2019-01-11,@,WAS
42,42,2019-01-13,@,ATL
43,43,2019-01-15,,MIA
44,44,2019-01-16,@,MEM
45,45,2019-01-19,@,ORL
46,46,2019-01-21,,DAL
47,47,2019-01-25,,CHO
48,48,2019-01-27,@,OKC
49,49,2019-01-29,@,DET
50,50,2019-01-31,@,TOR
51,51,2019-02-02,@,WAS
52,52,2019-02-04,@,BRK
53,53,2019-02-06,,WAS
54,54,2019-02-08,@,DAL
55,55,2019-02-09,,ORL
56,56,2019-02-11,@,CHI
57,57,2019-02-13,@,IND
58,58,2019-02-21,,BOS
59,59,2019-02-23,,MIN
60,60,2019-02-25,@,CHI
61,61,2019-02-27,@,SAC
62,62,2019-03-01,@,LAL
63,63,2019-03-02,@,UTA
64,64,2019-03-04,@,PHO
65,65,2019-03-07,,IND
66,66,2019-03-09,,CHO
67,67,2019-03-10,@,SAS
68,68,2019-03-12,@,NOP
69,69,2019-03-15,@,MIA
70,70,2019-03-17,,PHI
71,71,2019-03-19,,LAL
72,72,2019-03-20,@,CLE
73,73,2019-03-22,,MIA
74,74,2019-03-24,,CLE
75,75,2019-03-26,,HOU
76,76,2019-03-28,,LAC
77,77,2019-03-31,@,ATL
78,78,2019-04-01,@,BRK
79,79,2019-04-04,@,PHI
80,80,2019-04-06,,BRK
81,81,2019-04-07,,ATL
82,82,2019-04-10,,OKC
