Rk,G,Date, ,Opp
1,1,2018-10-17,@,LAC
2,2,2018-10-20,,PHO
3,3,2018-10-21,,GSW
4,4,2018-10-23,,SAC
5,5,2018-10-25,@,LAL
6,6,2018-10-29,,NOP
7,7,2018-10-31,@,CHI
8,8,2018-11-01,@,CLE
9,9,2018-11-03,,UTA
10,10,2018-11-05,,BOS
11,11,2018-11-07,@,MEM
12,12,2018-11-09,,BRK
13,13,2018-11-11,,MIL
14,14,2018-11-13,,HOU
15,15,2018-11-15,,ATL
16,16,2018-11-17,@,NOP
17,17,2018-11-19,@,MIL
18,18,2018-11-21,@,MIN
19,19,2018-11-23,,ORL
20,20,2018-11-24,@,OKC
21,21,2018-11-27,,LAL
22,22,2018-11-30,@,POR
23,23,2018-12-03,@,TOR
24,24,2018-12-05,@,ORL
25,25,2018-12-07,@,CHO
26,26,2018-12-08,@,ATL
27,27,2018-12-10,,MEM
28,28,2018-12-14,,OKC
29,29,2018-12-16,,TOR
30,30,2018-12-18,,DAL
31,31,2018-12-22,@,LAC
32,32,2018-12-26,@,SAS
33,33,2018-12-28,,SAS
34,34,2018-12-29,@,PHO
35,35,2019-01-01,,NYK
36,36,2019-01-03,@,SAC
37,37,2019-01-05,,CHO
38,38,2019-01-07,@,HOU
39,39,2019-01-08,@,MIA
40,40,2019-01-10,,LAC
41,41,2019-01-12,@,PHO
42,42,2019-01-13,,POR
43,43,2019-01-15,,GSW
44,44,2019-01-17,,CHI
45,45,2019-01-19,,CLE
46,46,2019-01-23,@,UTA
47,47,2019-01-25,,PHO
48,48,2019-01-26,,PHI
49,49,2019-01-28,@,MEM
50,50,2019-01-30,@,NOP
51,51,2019-02-01,,HOU
52,52,2019-02-02,@,MIN
53,53,2019-02-04,@,DET
54,54,2019-02-06,@,BRK
55,55,2019-02-08,@,PHI
56,56,2019-02-11,,MIA
57,57,2019-02-13,,SAC
58,58,2019-02-22,@,DAL
59,59,2019-02-24,,LAC
60,60,2019-02-26,,OKC
61,61,2019-02-28,,UTA
62,62,2019-03-02,,NOP
63,63,2019-03-04,@,SAS
64,64,2019-03-06,@,LAL
65,65,2019-03-08,@,GSW
66,66,2019-03-12,,MIN
67,67,2019-03-14,,DAL
68,68,2019-03-16,,IND
69,69,2019-03-18,@,BOS
70,70,2019-03-21,@,WAS
71,71,2019-03-22,@,NYK
72,72,2019-03-24,@,IND
73,73,2019-03-26,,DET
74,74,2019-03-28,@,HOU
75,75,2019-03-29,@,OKC
76,76,2019-03-31,,WAS
77,77,2019-04-02,@,GSW
78,78,2019-04-03,,SAS
79,79,2019-04-05,,POR
80,80,2019-04-07,@,POR
81,81,2019-04-09,@,UTA
82,82,2019-04-10,,MIN
