Rk,G,Date, ,Opp
1,1,2018-10-17,@,SAS
2,2,2018-10-19,,CLE
3,3,2018-10-20,@,DAL
4,4,2018-10-22,,IND
5,5,2018-10-24,@,TOR
6,6,2018-10-26,,MIL
7,7,2018-10-29,,LAL
8,8,2018-10-31,,UTA
9,9,2018-11-02,@,GSW
10,10,2018-11-04,@,POR
11,11,2018-11-05,@,LAC
12,12,2018-11-07,@,LAL
13,13,2018-11-09,@,SAC
14,14,2018-11-12,,BRK
15,15,2018-11-14,,NOP
16,16,2018-11-16,,POR
17,17,2018-11-18,,MEM
18,18,2018-11-21,,DEN
19,19,2018-11-23,@,BRK
20,20,2018-11-24,,CHI
21,21,2018-11-26,@,CLE
22,22,2018-11-28,,SAS
23,23,2018-12-01,,BOS
24,24,2018-12-03,,HOU
25,25,2018-12-05,,CHO
26,26,2018-12-08,@,POR
27,27,2018-12-10,@,GSW
28,28,2018-12-12,@,SAC
29,29,2018-12-15,@,PHO
30,30,2018-12-17,,SAC
31,31,2018-12-19,,DET
32,32,2018-12-21,@,SAS
33,33,2018-12-23,@,OKC
34,34,2018-12-26,@,CHI
35,35,2018-12-28,,ATL
36,36,2018-12-30,@,MIA
37,37,2018-12-31,@,NOP
38,38,2019-01-02,@,BOS
39,39,2019-01-04,,ORL
40,40,2019-01-06,,LAL
41,41,2019-01-08,@,OKC
42,42,2019-01-11,,DAL
43,43,2019-01-12,,NOP
44,44,2019-01-15,@,PHI
45,45,2019-01-18,,SAS
46,46,2019-01-20,,PHO
47,47,2019-01-22,@,PHO
48,48,2019-01-24,@,LAL
49,49,2019-01-25,@,UTA
50,50,2019-01-27,,UTA
51,51,2019-01-30,,MEM
52,52,2019-02-02,,DEN
53,53,2019-02-05,@,MEM
54,54,2019-02-07,@,ORL
55,55,2019-02-08,@,NOP
56,56,2019-02-11,,LAC
57,57,2019-02-13,,HOU
58,58,2019-02-22,@,NYK
59,59,2019-02-23,@,MIL
60,60,2019-02-25,,SAC
61,61,2019-02-27,@,ATL
62,62,2019-02-28,@,IND
63,63,2019-03-03,@,WAS
64,64,2019-03-05,,OKC
65,65,2019-03-06,@,DET
66,66,2019-03-09,,WAS
67,67,2019-03-10,,NYK
68,68,2019-03-12,@,DEN
69,69,2019-03-14,@,UTA
70,70,2019-03-17,@,HOU
71,71,2019-03-19,,GSW
72,72,2019-03-21,@,CHO
73,73,2019-03-23,@,MEM
74,74,2019-03-26,,LAC
75,75,2019-03-29,,GSW
76,76,2019-03-30,,PHI
77,77,2019-04-01,,POR
78,78,2019-04-03,@,DAL
79,79,2019-04-05,,MIA
80,80,2019-04-07,,OKC
81,81,2019-04-09,,TOR
82,82,2019-04-10,@,DEN
