Rk,G,Date, ,Opp
1,1,2018-10-18,@,PHI
2,2,2018-10-20,,DET
3,3,2018-10-22,@,DAL
4,4,2018-10-24,,CHO
5,5,2018-10-26,@,CHO
6,6,2018-10-27,@,ATL
7,7,2018-10-29,,GSW
8,8,2018-10-31,,DEN
9,9,2018-11-02,,IND
10,10,2018-11-03,,HOU
11,11,2018-11-05,@,NYK
12,12,2018-11-07,@,NOP
13,13,2018-11-10,,CLE
14,14,2018-11-12,,DAL
15,15,2018-11-14,@,BOS
16,16,2018-11-16,@,MIL
17,17,2018-11-17,,TOR
18,18,2018-11-21,,PHO
19,19,2018-11-23,,MIA
20,20,2018-11-24,@,MIN
21,21,2018-11-26,,SAS
22,22,2018-11-28,@,MIL
23,23,2018-11-30,@,DET
24,24,2018-12-01,@,HOU
25,25,2018-12-04,@,IND
26,26,2018-12-07,,OKC
27,27,2018-12-08,,BOS
28,28,2018-12-10,,SAC
29,29,2018-12-13,@,ORL
30,30,2018-12-15,@,SAS
31,31,2018-12-17,@,OKC
32,32,2018-12-19,,BRK
33,33,2018-12-21,,ORL
34,34,2018-12-23,@,CLE
35,35,2018-12-26,,MIN
36,36,2018-12-28,@,WAS
37,37,2018-12-30,@,TOR
38,38,2019-01-02,,ORL
39,39,2019-01-04,,IND
40,40,2019-01-06,,BRK
41,41,2019-01-09,@,POR
42,42,2019-01-11,@,GSW
43,43,2019-01-12,@,UTA
44,44,2019-01-15,@,LAL
45,45,2019-01-17,@,DEN
46,46,2019-01-19,,MIA
47,47,2019-01-21,@,CLE
48,48,2019-01-23,,ATL
49,49,2019-01-25,,LAC
50,50,2019-01-27,,CLE
51,51,2019-01-29,@,BRK
52,52,2019-01-30,@,MIA
53,53,2019-02-02,@,CHO
54,54,2019-02-06,,NOP
55,55,2019-02-08,@,BRK
56,56,2019-02-09,,WAS
57,57,2019-02-11,,MIL
58,58,2019-02-13,,MEM
59,59,2019-02-22,@,ORL
60,60,2019-02-23,,BOS
61,61,2019-02-25,,MIL
62,62,2019-02-27,@,MEM
63,63,2019-03-01,@,ATL
64,64,2019-03-03,,ATL
65,65,2019-03-05,@,IND
66,66,2019-03-06,,PHI
67,67,2019-03-08,,DET
68,68,2019-03-10,@,DET
69,69,2019-03-12,,LAL
70,70,2019-03-15,@,LAC
71,71,2019-03-17,@,SAC
72,72,2019-03-18,@,PHO
73,73,2019-03-20,,WAS
74,74,2019-03-23,,UTA
75,75,2019-03-26,@,TOR
76,76,2019-03-27,,POR
77,77,2019-03-30,,TOR
78,78,2019-04-01,@,NYK
79,79,2019-04-03,@,WAS
80,80,2019-04-06,,PHI
81,81,2019-04-09,,NYK
82,82,2019-04-10,@,PHI
