Rk,G,Date, ,Opp
1,1,2018-10-17,,BRK
2,2,2018-10-20,@,CHI
3,3,2018-10-23,,PHI
4,4,2018-10-25,,CLE
5,5,2018-10-27,,BOS
6,6,2018-10-30,@,BOS
7,7,2018-10-31,@,BRK
8,8,2018-11-03,@,PHI
9,9,2018-11-05,,MIA
10,10,2018-11-07,@,ORL
11,11,2018-11-09,@,ATL
12,12,2018-11-11,,CHO
13,13,2018-11-14,@,TOR
14,14,2018-11-19,,CLE
15,15,2018-11-21,@,HOU
16,16,2018-11-23,,HOU
17,17,2018-11-25,,PHO
18,18,2018-11-27,,NYK
19,19,2018-11-30,,CHI
20,20,2018-12-01,,GSW
21,21,2018-12-03,,OKC
22,22,2018-12-05,@,MIL
23,23,2018-12-07,,PHI
24,24,2018-12-09,,NOP
25,25,2018-12-10,@,PHI
26,26,2018-12-12,@,CHO
27,27,2018-12-15,,BOS
28,28,2018-12-17,,MIL
29,29,2018-12-19,@,MIN
30,30,2018-12-21,@,CHO
31,31,2018-12-23,,ATL
32,32,2018-12-26,,WAS
33,33,2018-12-28,@,IND
34,34,2018-12-30,@,ORL
35,35,2019-01-01,@,MIL
36,36,2019-01-02,@,MEM
37,37,2019-01-05,,UTA
38,38,2019-01-07,,SAS
39,39,2019-01-09,@,LAL
40,40,2019-01-10,@,SAC
41,41,2019-01-12,@,LAC
42,42,2019-01-14,@,UTA
43,43,2019-01-16,,ORL
44,44,2019-01-18,,MIA
45,45,2019-01-19,,SAC
46,46,2019-01-21,@,WAS
47,47,2019-01-23,@,NOP
48,48,2019-01-25,@,DAL
49,49,2019-01-29,,MIL
50,50,2019-01-31,,DAL
51,51,2019-02-02,,LAC
52,52,2019-02-04,,DEN
53,53,2019-02-05,@,NYK
54,54,2019-02-08,,NYK
55,55,2019-02-11,,WAS
56,56,2019-02-13,@,BOS
57,57,2019-02-22,@,ATL
58,58,2019-02-23,@,MIA
59,59,2019-02-25,,IND
60,60,2019-02-27,@,SAS
61,61,2019-03-02,@,CLE
62,62,2019-03-03,,TOR
63,63,2019-03-06,,MIN
64,64,2019-03-08,@,CHI
65,65,2019-03-10,,CHI
66,66,2019-03-11,@,BRK
67,67,2019-03-13,@,MIA
68,68,2019-03-15,,LAL
69,69,2019-03-17,,TOR
70,70,2019-03-18,@,CLE
71,71,2019-03-21,@,PHO
72,72,2019-03-23,@,POR
73,73,2019-03-24,@,GSW
74,74,2019-03-26,@,DEN
75,75,2019-03-28,,ORL
76,76,2019-03-30,,POR
77,77,2019-04-01,@,IND
78,78,2019-04-03,,IND
79,79,2019-04-05,@,OKC
80,80,2019-04-07,,CHO
81,81,2019-04-09,,MEM
82,82,2019-04-10,@,NYK
