Rk,G,Date, ,Opp
1,1,2018-10-17,@,NYK
2,2,2018-10-19,@,MEM
3,3,2018-10-21,@,CLE
4,4,2018-10-24,,DAL
5,5,2018-10-27,,CHI
6,6,2018-10-29,@,PHI
7,7,2018-10-30,@,CLE
8,8,2018-11-01,,SAC
9,9,2018-11-03,,MIA
10,10,2018-11-06,@,CHO
11,11,2018-11-07,,NYK
12,12,2018-11-09,,DET
13,13,2018-11-11,@,LAL
14,14,2018-11-13,@,GSW
15,15,2018-11-15,@,DEN
16,16,2018-11-17,@,IND
17,17,2018-11-19,,LAC
18,18,2018-11-21,,TOR
19,19,2018-11-23,,BOS
20,20,2018-11-25,,CHO
21,21,2018-11-27,@,MIA
22,22,2018-11-28,@,CHO
23,23,2018-11-30,@,OKC
24,24,2018-12-03,,GSW
25,25,2018-12-05,,WAS
26,26,2018-12-08,,DEN
27,27,2018-12-12,@,DAL
28,28,2018-12-14,@,BOS
29,29,2018-12-16,@,BRK
30,30,2018-12-18,,WAS
31,31,2018-12-21,@,NYK
32,32,2018-12-23,@,DET
33,33,2018-12-26,,IND
34,34,2018-12-28,@,MIN
35,35,2018-12-29,,CLE
36,36,2018-12-31,@,IND
37,37,2019-01-02,@,WAS
38,38,2019-01-04,@,MIL
39,39,2019-01-06,,MIA
40,40,2019-01-08,@,TOR
41,41,2019-01-09,@,BRK
42,42,2019-01-11,@,PHI
43,43,2019-01-13,,MIL
44,44,2019-01-15,,OKC
45,45,2019-01-19,,BOS
46,46,2019-01-21,,ORL
47,47,2019-01-23,@,CHI
48,48,2019-01-26,@,POR
49,49,2019-01-28,@,LAC
50,50,2019-01-30,@,SAC
51,51,2019-02-01,@,UTA
52,52,2019-02-02,@,PHO
53,53,2019-02-04,@,WAS
54,54,2019-02-07,,TOR
55,55,2019-02-09,,CHO
56,56,2019-02-10,,ORL
57,57,2019-02-12,,LAL
58,58,2019-02-14,,NYK
59,59,2019-02-22,,DET
60,60,2019-02-23,,PHO
61,61,2019-02-25,@,HOU
62,62,2019-02-27,,MIN
63,63,2019-03-01,,CHI
64,64,2019-03-03,@,CHI
65,65,2019-03-04,@,MIA
66,66,2019-03-06,,SAS
67,67,2019-03-09,,BRK
68,68,2019-03-10,,NOP
69,69,2019-03-13,,MEM
70,70,2019-03-16,@,BOS
71,71,2019-03-17,@,ORL
72,72,2019-03-19,,HOU
73,73,2019-03-21,,UTA
74,74,2019-03-23,,PHI
75,75,2019-03-26,@,NOP
76,76,2019-03-29,,POR
77,77,2019-03-31,,MIL
78,78,2019-04-02,@,SAS
79,79,2019-04-03,,PHI
80,80,2019-04-05,@,ORL
81,81,2019-04-07,@,MIL
82,82,2019-04-10,,IND
