Rk,G,Date, ,Opp
1,1,2018-10-18,@,POR
2,2,2018-10-20,,HOU
3,3,2018-10-22,,SAS
4,4,2018-10-24,@,PHO
5,5,2018-10-25,,DEN
6,6,2018-10-27,@,SAS
7,7,2018-10-29,@,MIN
8,8,2018-10-31,,DAL
9,9,2018-11-03,@,POR
10,10,2018-11-04,,TOR
11,11,2018-11-07,,MIN
12,12,2018-11-10,@,SAC
13,13,2018-11-11,,ATL
14,14,2018-11-14,,POR
15,15,2018-11-17,@,ORL
16,16,2018-11-18,@,MIA
17,17,2018-11-21,@,CLE
18,18,2018-11-23,,UTA
19,19,2018-11-25,,ORL
20,20,2018-11-27,@,DEN
21,21,2018-11-29,,IND
22,22,2018-11-30,,DAL
23,23,2018-12-02,,PHO
24,24,2018-12-05,,SAS
25,25,2018-12-07,@,SAS
26,26,2018-12-08,@,MEM
27,27,2018-12-10,,MIA
28,28,2018-12-13,@,HOU
29,29,2018-12-15,@,CHO
30,30,2018-12-16,@,WAS
31,31,2018-12-18,@,BRK
32,32,2018-12-21,,NOP
33,33,2018-12-23,,MEM
34,34,2018-12-25,@,GSW
35,35,2018-12-27,@,SAC
36,36,2018-12-28,,LAC
37,37,2018-12-30,,SAC
38,38,2019-01-02,,OKC
39,39,2019-01-04,,NYK
40,40,2019-01-06,@,MIN
41,41,2019-01-07,@,DAL
42,42,2019-01-09,,DET
43,43,2019-01-11,@,UTA
44,44,2019-01-13,,CLE
45,45,2019-01-15,,CHI
46,46,2019-01-17,@,OKC
47,47,2019-01-19,@,HOU
48,48,2019-01-21,,GSW
49,49,2019-01-24,,MIN
50,50,2019-01-27,,PHO
51,51,2019-01-29,,PHI
52,52,2019-01-31,@,LAC
53,53,2019-02-02,@,GSW
54,54,2019-02-05,@,IND
55,55,2019-02-07,@,BOS
56,56,2019-02-10,@,PHI
57,57,2019-02-12,@,ATL
58,58,2019-02-21,,HOU
59,59,2019-02-23,@,NOP
60,60,2019-02-25,@,MEM
61,61,2019-02-27,,NOP
62,62,2019-03-01,,MIL
63,63,2019-03-02,@,PHO
64,64,2019-03-04,,LAC
65,65,2019-03-06,,DEN
66,66,2019-03-09,,BOS
67,67,2019-03-12,@,CHI
68,68,2019-03-14,@,TOR
69,69,2019-03-15,@,DET
70,70,2019-03-17,@,NYK
71,71,2019-03-19,@,MIL
72,72,2019-03-22,,BRK
73,73,2019-03-24,,SAC
74,74,2019-03-26,,WAS
75,75,2019-03-27,@,UTA
76,76,2019-03-29,,CHO
77,77,2019-03-31,@,NOP
78,78,2019-04-02,@,OKC
79,79,2019-04-04,,GSW
80,80,2019-04-05,@,LAC
81,81,2019-04-07,,UTA
82,82,2019-04-09,,POR
