Rk,G,Date, ,Opp
1,1,2018-10-17,,MEM
2,2,2018-10-19,@,MIL
3,3,2018-10-20,,BRK
4,4,2018-10-22,@,MIN
5,5,2018-10-24,@,SAS
6,6,2018-10-27,@,CLE
7,7,2018-10-29,,POR
8,8,2018-10-31,@,NYK
9,9,2018-11-02,@,CHI
10,10,2018-11-03,,BOS
11,11,2018-11-05,,HOU
12,12,2018-11-07,,PHI
13,13,2018-11-09,@,MIA
14,14,2018-11-11,@,HOU
15,15,2018-11-16,,MIA
16,16,2018-11-17,,ATL
17,17,2018-11-19,,UTA
18,18,2018-11-21,@,CHO
19,19,2018-11-23,,SAS
20,20,2018-11-26,@,UTA
21,21,2018-11-27,@,PHO
22,22,2018-11-29,@,LAL
23,23,2018-12-01,@,SAC
24,24,2018-12-04,,CHI
25,25,2018-12-07,@,ORL
26,26,2018-12-08,,SAC
27,27,2018-12-10,,WAS
28,28,2018-12-12,,MIL
29,29,2018-12-14,@,PHI
30,30,2018-12-16,,NYK
31,31,2018-12-18,,CLE
32,32,2018-12-19,@,TOR
33,33,2018-12-21,@,BRK
34,34,2018-12-23,,WAS
35,35,2018-12-26,@,ATL
36,36,2018-12-28,,DET
37,37,2018-12-31,,ATL
38,38,2019-01-04,@,CHI
39,39,2019-01-06,@,TOR
40,40,2019-01-08,@,CLE
41,41,2019-01-09,@,BOS
42,42,2019-01-11,@,NYK
43,43,2019-01-15,,PHO
44,44,2019-01-17,,PHI
45,45,2019-01-19,,DAL
46,46,2019-01-20,,CHO
47,47,2019-01-23,,TOR
48,48,2019-01-26,@,MEM
49,49,2019-01-28,,GSW
50,50,2019-01-30,@,WAS
51,51,2019-01-31,@,ORL
52,52,2019-02-02,@,MIA
53,53,2019-02-04,@,NOP
54,54,2019-02-05,,LAL
55,55,2019-02-07,,LAC
56,56,2019-02-09,,CLE
57,57,2019-02-11,,CHO
58,58,2019-02-13,,MIL
59,59,2019-02-22,,NOP
60,60,2019-02-23,@,WAS
61,61,2019-02-25,@,DET
62,62,2019-02-27,@,DAL
63,63,2019-02-28,,MIN
64,64,2019-03-02,,ORL
65,65,2019-03-05,,CHI
66,66,2019-03-07,@,MIL
67,67,2019-03-10,@,PHI
68,68,2019-03-12,,NYK
69,69,2019-03-14,,OKC
70,70,2019-03-16,@,DEN
71,71,2019-03-18,@,POR
72,72,2019-03-19,@,LAC
73,73,2019-03-21,@,GSW
74,74,2019-03-24,,DEN
75,75,2019-03-27,@,OKC
76,76,2019-03-29,@,BOS
77,77,2019-03-30,,ORL
78,78,2019-04-01,,DET
79,79,2019-04-03,@,DET
80,80,2019-04-05,,BOS
81,81,2019-04-07,,BRK
82,82,2019-04-10,@,ATL
